Name;Hm0 deep;Tp deep;Tm deep;Tm-1,0 deep;h deep;m;b;h;Hm0 toe;Tp toe;Tm toe;Tm-1,0 toe;ht;Bt;gf;cotad;cotau;cotaexcl;cotaincl;Rc;B;hb;tanaB;Bh;Ac;Gc;RF;CF;q
;m;s;s;s;m;;°;m;m;s;s;s;m;m;;;;;;m;m;m;;m;m;m;;;m3/s/m
001-001;0.108;1.591;1.326;1.447;0.184;43;0;0.033;0.024;1.591;1.326;1.447;0.033;0;1;0;0;0;0;0.077;0;0;0;0;0.061;0.432;4;3;1.11E-04
001-003;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.05;0;0;0;0;0.034;0.432;4;3;5.94E-04
001-005;0.138;2.165;1.804;1.968;0.236;43;0;0.085;0.063;2.165;1.804;1.968;0.085;0;1;0;0;0;0;0.025;0;0;0;0;0.009;0.432;3;3;2.06E-03
001-006;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.025;0;0;0;0;0.009;0.432;4;3;2.08E-03
001-007;0.108;1.591;1.326;1.447;0.184;43;0;0.033;0.024;1.591;1.326;1.447;0.033;0;1;0;0;0;0;0.152;0;0;0;0;0.083;0.432;4;3;3.13E-07
001-009;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.125;0;0;0;0;0.056;0.432;4;3;2.81E-05
001-011;0.138;2.165;1.804;1.968;0.236;43;0;0.085;0.063;2.165;1.804;1.968;0.085;0;1;0;0;0;0;0.1;0;0;0;0;0.031;0.432;3;3;1.88E-04
001-012;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.1;0;0;0;0;0.031;0.432;4;3;9.69E-05
001-013;0.108;1.591;1.326;1.447;0.184;43;0;0.033;0.024;1.591;1.326;1.447;0.033;0;1;0;0;0;0;0.077;0;0;0;0;0.136;0.432;4;3;7.81E-07
001-015;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.05;0;0;0;0;0.109;0.432;4;3;6.09E-05
001-017;0.138;2.165;1.804;1.968;0.236;43;0;0.085;0.063;2.165;1.804;1.968;0.085;0;1;0;0;0;0;0.025;0;0;0;0;0.084;0.432;3;3;4.06E-04
001-018;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.025;0;0;0;0;0.084;0.432;4;3;2.81E-04
001-021;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.1;0;0;0;0;0.031;0.432;4;3;1.31E-04
001-022;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.125;0;0;0;0;0.056;1.376;4;3;1.25E-06
001-024;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.1;0;0;0;0;0.031;1.376;4;3;2.03E-05
002-002;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.33;1.33;1.33;1.33;0.274;0;0;0;0;0.215;0.077;2;2;2.04E-04
002-003;0.187;2.105;1.754;1.914;0.8;66;0;0.326;0.187;2.105;1.754;1.914;0.218;0.185;0.55;1.33;1.33;1.33;1.33;0.274;0;0;0;0;0.215;0.077;2;2;7.18E-04
002-005;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.305;0;0;0;0;0.225;0.277;2;2;1.84E-05
002-006;0.187;2.123;1.769;1.93;0.8;66;0;0.326;0.187;2.123;1.769;1.93;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.305;0;0;0;0;0.225;0.277;2;2;8.15E-05
002-007;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.335;0;0;0;0;0.225;0.277;2;2;8.10E-06
