name	m	b	h	Hm0 toe	Tm-1,0 toe	ht	Bt	gf	cotad	cotau	B	hb	Rc	Ac	Gc
026-004	14	0	0.181	0.091	1.16	0.181	0	1	0.35	0.33	0.792	-0.002	0.069	0.069	0
028-122	30	0	0.19	0.106	1.391	0.19	0	1	0	0	0	0	0.2	0.2	0
030-122	20	0	0.16	0.089	1.128	0.16	0	1	1	1	0.4	0.08	0.12	0.12	0
030-155	20	0	0.16	0.07	1.016	0.16	0	1	1	1	0.4	0	0.08	0.08	0
030-219	20	0	0.16	0.07	1.016	0.16	0	1	2	2	0.4	0.04	0.06	0.06	0
031-042	1000	0	0.61	0.191	1.612	0.61	0	0.78	2	2	0	0	0.167	0.1	0.267
104-043	1000	0	1	0.102	1.19	1	0	1	6	6	0	0	0.05	0.05	0
114-089	47	0	0.32	0.166	1.893	0.234	0.522	0.47	1.4	1.4	0	0	0.173	0.246	0.202
217-005	1000	0	4.5	0.8	6.545	4.5	0	1	6	6	0	0	1.8	1.8	0
219-010	20	0	0.42	0.154	1.577	0.42	0.33	1	4	4	0	0	0.26	0.26	0
222-158	1000	0	0.72	0.135	1.773	0.72	0	1	4	4	0	0	0.15	0.15	0
229-007	1000	0	0.422	0.09	1.311	0.284	0.284	1	0	3	0	-0.043	0.147	0.098	0
308-004	500	0	0.538	0.17	2.255	0.338	0.16	0.47	1.5	1.5	0	0	0.242	0.278	0.16
502-002	10	0	0.09	0.062	1.241	0.09	0	1	0	0	0	0	0.15	0.15	0
602-009	24	0	0.287	0.124	1.302	0.159	0.561	0.47	1.3	1.3	0	0	0.254	0.321	0.169
605-079	15	0	0.22	0.092	1.957	0.2	0.51	0.47	1.4	1.4	0	0	0.207	0.28	0.179
802-068	30	0	0.1	0.095	2.701	0.1	0	1	0	0	0	0	0.075	0.075	0
914-171	1000	0	0.55	0.15	1.727	0.4	0.15	1	0	-1	0	-0.05	0.2	0.2	0
918-059	39	0	0.096	0.069	3.108	0.058	0.058	0.75	1.72	1.72	0	0	0.14	0.067	0.032
919-072	872	0	0.185	0.074	1.729	0.105	0.131	0.95	0	2.4	0.233	-0.016	0.09	0.068	0.052
